è;X;X
èa;;medm.
èaèa;-e;m
èaèaèa;;gl.
èaèka;-e;ž
èaèkast;-a -o;prid.
èad;-a;m
èada;-e;ž
èadan;-a -o;prid.
èadast;-a -o;prid.
èadav;-a -o;prid.
èadavec;-vca;m
èade;-eta;in
èaden;-dna -o;prid.
èaditi se;-im se;in
èaj;-a;m
èaj;-te;medm.
èajanka;-e;ž
èajarna;-e;ž
èajca;-e;ž
èajèek;-èka;m
èajen;-jna -o;prid.
èajevec;-vca;m
èajevina;-e;ž
èajevka;-e;ž
èajnica;-e;ž
èajnik;-a;m
èak;-te;medm.
èaka;-e;ž
èakaj;-te;medm.
èakalec;-lca;m
èakalen;-lna -o;prid.
èakališèe;-a;s
èakalnica;-e;ž
èakalo;-a;s
èakanje;;in
èakati;-am;nedov.
èakavec;-vca;m
èakavski;-a -o;prid.
èakavšèina;-e;ž
èakež;-a;m
èalaren;ipd.;gl.
èamer;-mra;m
èampelj;-plja;tudi
èankar;-ja;m
èap;;medm.
èapa;-e;ž
èapka;-e;ž
èapa;-e;ž
èapka;-e;ž
èaplja;-e;ž
èapljariti;-im;nedov.
èapljevec;-vca;m
èapljica;-e;ž
èar;-a;m
èaralec;-lca;m
èaranje;-a;s
èarati;-am;nedov.
èardaš;-a;m
èaren;-rna -o;prid.
èarilo;-a;s
èarlston;;gl.
èaroba;-e;ž
èaroben;-bna -o;prid.
èarobija;-e;ž
èarobnica;-e;ž
èarobnik;-a;m
èarobnost;-i;ž
èarodej;-a;m
èarodejec;-jca;m
èarodejen;-jna -o;prid.
èarodejec;-jca;m
èarodejen;-jna -o;prid.
èarodejka;-e;ž
èarodejnik;-a;m
èarodejski;-a -o;prid.
èarodejstvo;-a;s
èarokrasen;-sna -o;prid.
èarostrelec;-lca;m
èaroven;-vna -o;prid.
èarovit;-a -o;prid.
èarovitost;-i;ž
èarovnica;-e;ž
èarovnija;-e;ž
èarovnik;-a;m
èarovniški;-a -o;prid.
èarovništvo;-a;s
èaršija;-e;ž
èaršijski;-a -o;prid.
èarter;;in
èarterski;;tudi
èartist;ipd.;gl.
èas;èasa;m
èasek;-ska;m
èasen;-sna -o;prid.
èasi;;prisl.
èasih;;prisl.
èasnik;-a;m
èasnikar;-ja;m
èasnikarica;-e;ž
èasnikarka;-e;ž
èasnikarski;-a -o;prid.
èasnikarstvo;-a;s
èasnikaršèina;-e;ž
èasniški;-a -o;prid.
èasništvo;-a;s
èasnost;-i;ž
èasomer;-a;m
èasomerec;-rca;m
èasomerilec;-lca;m
èasomernica;-e;ž
èasomerstvo;-a;s
èasopis;-a;m
èasopisar;-ja;m
èasopisec;-sca;m
èasopisen;-sna -o;prid.
èasopisje;-a;s
èasoslov;-ova;m
èasoven;-vna -o;prid.
èasovnost;-i;ž
èast;-i;ž
èasten;-tna -o;prid.
èastihlepen;-pna -o;prid.
èastihlepje;-a;s
èastihlepnež;-a;m
èastihlepnik;-a;m
èastihlepnost;-i;ž
èastikraja;-e;ž
èastilakomen;-mna -o;prid.
èastilakomnež;-a;m
èastilakomnost;-i;ž
èastilec;-lca;m
èastilen;-lna -o;prid.
èastiljuben;-bna -o;prid.
èastiljubje;-a;s
èastiljubnost;-i;ž
èastilka;-e;ž
èastit;-a -o;prid.
èastitati;;gl.
èastitelj;-a;m
èastitev;-tve;ž
èastiti;-im;nedov.
èastitljiv;;tudi
èastitljivost;;tudi
èastitost;-i;ž
èastivreden;-dna -o;prid.
èastivrednost;-i;ž
èastiželjen;-jna -o;prid.
èastiželjnost;-i;ž
èastnik;-a;m
èastniški;-a -o;prid.
èastništvo;-a;s
èaša;-e;ž
èašast;-a -o;prid.
èašèenje;-a;s
èašen;-šna -o;prid.
èašica;-e;ž
èaška;-e;ž
èatež;-a;m
èav;;gl.
èavelj;-vlja;m
èavs;;in
èavsati;-am;nedov.
èavsniti;-em;dov.
èbelièar;-ja;m
èe;;vez.
èebela;-e;ž
èebelak;-a;m
èebelar;-ja;m
èebelar;-ja;m
èebelarèek;-èka;m
èebelarica;-e;ž
èebelarija;-e;ž
èebelariti;-im;nedov.
èebelarjenje;-a;s
èebelarka;-e;ž
èebelarna;-e;ž
èebelarski;-a -o;prid.
èebelarstvo;-a;s
èebelen;-lna -o;prid.
èebelica;-e;ž
èebelji;-a -e;prid.
èebelnat;-a -o;prid.
èebelnik;-a;m
èebelnjak;-a;m
èebelojedec;-dca;m
èebeloreja;-e;ž
èeber;-bra;tudi
èebljaè;-a;m
èebljanje;-a;s
èebljati;-am;nedov.
èebljav;-ava -o;prid.
èebljavec;-vca;m
èebrica;-e;ž
èebriè;-ièa;m
èebrièek;-èka;m
èebrljati;-am;nedov.
èebrnjanje;-a;s
èebrnjati;-am;nedov.
èebrnjav;-ava -o;prid.
èebul;;tudi
èebula;-e;ž
èebular;-ja;m
èebulast;-a -o;prid.
èebulèek;-èka;m
èebulen;-lna -o;prid.
èebulica;-e;ž
èebulièast;-a -o;prid.
èebulnat;-a -o;prid.
èebulnica;-e;ž
èebulov;-a -o;tudi
èeèa;;in
èeèica;;in
èeèkaè;-a;m
èeèkanje;-a;s
èeèkarija;-e;ž
èeèkariti;-im;nedov.
èeèkati;-am;nedov.
èeèkav;-ava -o;prid.
èeda;ipd.;gl.
èedajski;-a -o;prid.
èedalje;;prisl.
èeden;-dna -o;prid.
èedermaèevski;-a -o;prid.
èediti;-im;nedov.
èedkan;-a -o;prid.
èednost;-i;ž
èednosten;-tna -o;prid.
èednostnik;-a;m
èednostnost;-i;ž
èedra;-e;ž
èedrica;-e;ž
èeh;èeha;m
èehati;-am;nedov.
èehelj;-hlja;m
èehizem;-zma;m
èehljati;-am;nedov.
èehniti;-em;in
èehoslovaški;-a -o;prid.
èehovski;-a -o;prid.
èeja;-e;ž
èek;-a;m
èek;;medm.
èeka;-e;ž
èekan;-ana;m
èekanast;-a -o;prid.
èekelj;-klja;m
èeketati;-am;tudi
èekist;-a;m
èekljati;-am;nedov.
èekoven;-vna -o;prid.
èekovnopraven;-vna -o;prid.
èelada;-e;ž
èeladar;-ja;m
èeladast;-a -o;prid.
èeladnica;-e;ž
èeladnik;-a;m
èelak;-a;m
èelaren;-rna -o;prid.
èelarnost;-i;ž
èelast;-a -o;prid.
èelat;-ata -o;prid.
èelce;-a;s
èelèek;-èka;m
èelek;;in
èelen;-lna -o;prid.
èelesta;;gl.
èelešnik;-a;m
èelešnjak;-a;m
èelilen;-lna -o;prid.
èelilen;-lna -o;prid.
èelilnik;-a;m
èelist;-a;m
èelistka;-e;ž
èeliti;-im;in
èeljenje;;in
èeljust;-i;ž
èeljustaè;-a;m
èeljustalo;-a;s
èeljustanje;-a;s
èeljustati;-am;nedov.
èeljustav;-ava -o;prid.
èeljusten;-tna -o;prid.
èeljustiti se;-im se;nedov.
èeljustka;-e;ž
èeljustkar;-ja;m
èeljustnica;-e;ž
èeljustnik;-a;m
èelnica;-e;ž
