š;X;X
šabes;-a;m
šabesa;-e;ž
šabeso;-a;m
šablona;-e;ž
šablonar;-ja;m
šablonirati;-am;nedov. in dov.
šablonizacija;-e;ž
šabloniziranje;-a;s
šablonizirati;-am;nedov. in dov.
šablonski;-a -o;prid.
šablonstvo;-a;s
šabo;;neskl. pril.
šabojev;-a -o;prid.
šabraka;-e;ž
šafar;-ja;m
šafot;-a;m
šaga;-e;ž
šagra;-e;ž
šagrin;-a;m
šagrinast;-a -o;prid.
šah;-a;m
šahinja;-e;ž
šahiranje;-a;s
šahirati;-am;nedov.
šahist;-a;m
šahistka;-e;ž
šahovec;-vca;m
šahovnica;-e;ž
šahovski;-a -o;prid.
šaht;-a;m
šahten;-tna -o;prid.
šajba;-e;ž
šajdesen;-sna;m
šajevka;-e;ž
šajka;-e;ž
šajkaèa;-e;ž
šajtrav;-a -o;prid.
šajtrga;-e;ž
šaka;-e;ž
šakal;-a;m
šakalski;-a -o;prid.
šal;-a;m
šala;-e;ž
šalast;-a -o;prid.
šalèka;-e;ž
šalež;-a;m
šaliti se;;in
šaliti se;;in
šaljiv;-a -o;prid.
šaljivec;-vca;m
šaljivka;-e;ž
šaljivost;-i;ž
šalobarda;-e;ž
šalobariti;-im;nedov.
šaloigra;-e;ž
šalotka;-e;ž
šalter;-ja;m
šalterski;-a -o;prid.
šalupa;-e;ž
šalvare;-var;ž mn.
šaman;-a;m
šamanski;-a -o;prid.
šamanstvo;-a;s
šamarjanka;-e;ž
šamoa;-ja;m
šamot;-a;m
šamotarna;-e;ž
šamoten;-tna -o;prid.
šamozit;-a;m
šampanjec;-jca;m
šamozit;-a;m
šampanjec;-jca;m
šampanjizirati;-am;nedov.
šampanjka;-e;ž
šampanjski;-a -o;prid.
šampinjon;-a;m
šampion;-a;m
šampionat;-a;m
šampionka;-e;ž
šampionski;-a -o;prid.
šampionstvo;-a;s
šampon;-a;m
šamponiranje;-a;s
šamponirati;-am;nedov. in dov.
šance;šanc;ž mn.
šank;-a;m
šansa;-e;ž
šanson;;tudi
šansonetka;-e;ž
šansonje;;tudi
šansonjerka;-e;ž
šantaè;-a;m
šantan;-a;m
šantast;-a -o;prid.
šantati;-am;nedov.
šantav;-a -o;prid.
šantavec;-vca;m
šantavost;-i;ž
šantung;-a;m
šap;;medm.
šapast;-a -o;prid.
šapati;-am;tudi
šapelj;-plja;m
šapica;-e;ž
šapirograf;-a;m
šapirografirati;-am;nedov. in dov.
šapirografski;-a -o;prid.
šapniti;-em;dov.
šar;-a;m
šar;-a -o;prid.
šarada;-e;ž
šarast;-a -o;prid.
šar;-a;m
šar;-a -o;prid.
šarada;-e;ž
šarast;-a -o;prid.
šaren;-a -o;prid.
šarenica;;in
šarenka;;tudi
šarg;-a;m
šariti;-im;nedov.
šarivec;-vca;m
šarjenje;-a;s
šarka;-e;ž
šarkelj;-klja;tudi
šarlatan;-a;m
šarlatanski;-a -o;prid.
šarlatanstvo;-a;s
šarm;-a;m
šarmanten;-tna -o;prid.
šarka;-e;ž
šarkelj;-klja;tudi
šarlatan;-a;m
šarlatanski;-a -o;prid.
šarlatanstvo;-a;s
šarm;-a;m
šarmanten;-tna -o;prid.
šarmer;-ja;m
šarmirati;-am;dov. in nedov.
šarnir;-ja;m
šarnirski;-a -o;prid.
šarovit;-a -o;prid.
šarpa;-e;ž
šarpija;-e;ž
šarplaninec;-nca;m
šartelj;-tlja;tudi
šartka;-e;ž
šarž;-a;m
šarža;-e;ž
šaržer;-ja;m
šaržirati;-am;nedov. in dov.
šasija;-e;ž
šaš;-a;m
šašje;-a;s
šašlik;-a;m
šatirati;-am;nedov. in dov.
šato;-ja;m
šatraj;-a;m
šatulja;-e;ž
šatuljica;-e;ž
šavje;-a;s
šavra;-e;ž
šavrast;-a -o;prid.
šavs;-a;m
šavs;;medm.
šavsati;-am;nedov.
šavsniti;-em;dov.
šc;;medm.
šèap;-a;m
šèapica;-e;ž
šèapniti;-em;dov.
šèav;-a;m
šèaven;-vna -o;prid.
šèavje;-a;s
šèavnica;-e;ž
šèavnjek;-a;m
šèavo;-a;m
šèebet;-eta;m
šèavo;-a;m
šèebet;-eta;m
šèebetanje;-a;s
šèebetati;-am;tudi
šèebetav;-ava -o;prid.
šèebljati;-am;nedov.
šèeget;-eta;m
šèegetanje;-a;s
šèegetati;-am;tudi
šèegetav;-ava -o;prid.
šèegetavèek;-èka;m
šèegetljiv;-a -o;prid.
šèegetljivost;-i;ž
šèek;;medm.
šèekanje;;tudi
šèekar;-ja;m
šèekati;-am;tudi
šèeket;-eta;m
šèeketati;-am;tudi
šèekniti;-em;dov.
šèemenje;-a;s
šèemeti;-im;nedov.
šèene;-eta;s
šèenec;-nca;m
šèep;-a;in
šèepec;-pca;in
šèeperiti;-im;nedov.
šèepeti;-im;nedov.
šèepica;-e;ž
šèet;-i;ž
šèetar;-ja;m
šèetarski;-a -o;prid.
šèetarstvo;-a;s
šèetati;-am;in
šèetica;-e;ž
šèetina;-e;ž
šèetinar;-ja;m
šèetinast;-a -o;prid.
šèetinec;-nca;m
šèetinica;-e;ž
šèetiniti;-im;nedov.
šèetinje;-a;s
šèetinovec;-vca;m
šèetinovka;-e;ž
šèetka;-e;ž
šèetkanje;-a;s
šèetkar;-ja;m
šèetkarski;-a -o;prid.
šèetkarstvo;-a;s
šèetkast;-a -o;prid.
šèetkati;-am;nedov.
šèetkica;-e;ž
šèi;-ja;m
šèina;-e;ž
šèink;-a;m
šèink;;medm.
šèinka;-e;ž
šèinkanje;-a;s
šèinkati;-am;nedov.
šèinkavèek;-èka;m
šèinkavec;-vca;m
šèinkavka;-e;ž
šèinklja;-e;ž
šèip;-a;m
šèipalec;-lca;m
šèipalen;-lna -o;prid.
šèipalka;-e;ž
šèipalnica;-e;ž
šèipalnik;-a;m
šèipanje;;tudi
šèipati;-am;tudi
šèipec;-pca;m
šèipek;-pka;m
šèipljaj;-a;m
šèipniti;-em;dov.
šèir;-a;m
šèirnica;-e;ž
šèit;-a;m
šèitar;-ja;m
šèitarica;-e;ž
šèitarka;-e;ž
šèitast;-a -o;prid.
šèitec;-tca;m
šèitek;-tka;m
šèiten;-tna -o;prid.
šèititi;-im;nedov.
šèitnica;-e;ž
šèitnik;-a;m
šèitoglavec;-vca;m
šèitonosec;-sca;m
šèitonoša;-e;tudi
šèitovka;-e;ž
šèrleti;-im;nedov.
šèuka;-e;ž
šèukast;-a -o;prid.
šèukec;-kca;m
šèukica;-e;ž
šèurek;-rka;m
šèurkast;-a -o;prid.
šèurkast;-a -o;prid.
šèurkov;-a -o;prid.
šèuvaè;-a;m
šèuvalec;-lca;m
šèuvalen;-lna -o;prid.
šèuvanje;;tudi
šèuvati;-am;tudi
še;;prisl.
šebenik;;tudi
šeboj;-a;m
šed;-a;m
šedast;-a -o;prid.
šefica;-e;ž
šefinja;-e;ž
šefovanje;-a;s
šefovski;-a -o;prid.
šefovstvo;-a;s
šega;;in
šegav;-ava -o;prid.
šegavec;-vca;m
šegavost;-i;ž
šeh;-a;m
šejek;-jka;m
šeh;-a;m
šejek;-jka;m
šejk;-a;m
šejk;;in
šejkat;-a;m
šejtan;;in
šek;;tudi
šek;;medm.
šeka;;tudi
šekast;;tudi
šekec;;tudi
šekel;-kla;m
šekljati;-am;nedov.
šelak;-a;m
šelakov;-a -o;prid.
šele;;tudi
šeleshamer;-ja;m
šelest;-esta;tudi
šelestenje;-a;s
šelesteti;-im;nedov.
šelestniti;-em;dov.
šelf;-a;m
šelfen;-fna -o;prid.
šema;-e;ž
šemarija;-e;ž
šemariti;-im;nedov.
šemast;-a -o;prid.
šematizem;-zma;m
šember;;medm.
šembilja;-e;ž
šembiljski;-a -o;prid.
šembraj;-te;medm.
šembran;-a -o;prid.
šemica;-e;ž
šemiti;-im;nedov.
šemljenje;-a;s
šempetrski;;tudi
šemski;-a -o;prid.
šen;šena;m
šenilja;-e;ž
šenk;;in
šenkati;-am;dov.
šent;šenta;in
šentaj;-te;medm.
šentan;-a -o;prid.
šentflorjanski;-a -o;prid.
šentflorjanstvo;-a;s
šentjakobica;-e;ž
šentjanžev;-a -o;prid.
šentjanževec;-vca;m
šentjanževka;-e;ž
šentjanževo;-ega;s
šentjanževski;-a -o;prid.
šentjernejski;-a -o;prid.
šentlovrenka;-e;ž
šentovati;-ujem;nedov.
šentpetrski;;tudi
šepanje;-a;s
šepast;-a -o;prid.
šepati;-am;nedov.
šepav;-a -o;prid.
šepavec;-vca;m
šepavka;-e;ž
šepavost;-i;ž
šepec;-pca;m
šepet;-eta;m
šepetalèev;-a -o;prid.
šepetalec;-lca;m
šepetalen;-lna -o;prid.
šepetalka;-e;ž
šepetalnica;-e;ž
šepetalski;-a -o;prid.
šepetanje;-a;s
šepetati;-am;tudi
šepetav;-ava -o;prid.
šepetniti;-em;dov.
šepetoma;;prisl.
šeping;-a;m
šepniti;-em,;tudi
